Sl,Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period,Flood?,date
0,Barisal,1949,1,29.4,12.3,0.0,68.0,0.453703704,0.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1949.01,0,1949-01-01
1,Barisal,1949,2,33.9,15.2,9.0,63.0,0.659259259,0.9,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1949.02,0,1949-02-01
2,Barisal,1949,3,36.7,20.2,8.0,59.0,1.085185185,1.5,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1949.03,0,1949-03-01
3,Barisal,1949,4,33.9,23.9,140.0,71.0,1.772222222,3.9,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1949.04,0,1949-04-01
4,Barisal,1949,5,35.6,25.0,217.0,76.0,1.703703704,4.1,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1949.05,0,1949-05-01
5,Barisal,1949,6,34.4,25.7,512.0,80.0,1.631481481,5.6,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1949.06,1,1949-06-01
6,Barisal,1949,7,33.4,25.8,575.0,85.0,1.57037037,5.4,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1949.07,1,1949-07-01
7,Barisal,1949,8,33.5,25.7,349.0,86.0,1.32962963,5.6,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1949.08,1,1949-08-01
8,Barisal,1949,9,34.8,25.7,252.0,83.0,0.937037037,4.8,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1949.09,0,1949-09-01
9,Barisal,1949,10,34.0,24.7,128.0,78.0,0.490740741,3.1,7.0,41950,536809.8,510151.9,22.7,90.36,4,1949.10,0,1949-10-01
10,Barisal,1949,11,31.5,17.4,41.0,68.0,0.312962963,0.9,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1949.11,0,1949-11-01
11,Barisal,1949,12,29.7,12.5,0.0,66.0,0.337037037,0.3,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1949.12,0,1949-12-01
12,Barisal,1950,1,30.0,14.1,0.0,77.0,0.453703704,0.8,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1950.01,0,1950-01-01
13,Barisal,1950,2,31.7,16.6,90.0,76.0,0.659259259,1.7,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1950.02,0,1950-02-01
14,Barisal,1950,3,36.1,20.5,13.0,70.0,1.085185185,2.9,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1950.03,0,1950-03-01
15,Barisal,1950,4,37.2,24.2,66.0,75.0,1.772222222,3.3,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1950.04,0,1950-04-01
16,Barisal,1950,5,36.1,25.5,87.0,78.0,1.703703704,4.8,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1950.05,1,1950-05-01
17,Barisal,1950,6,33.9,26.0,476.0,87.0,1.631481481,7.2,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1950.06,1,1950-06-01
18,Barisal,1950,7,32.2,25.9,546.0,89.0,1.57037037,6.8,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1950.07,1,1950-07-01
19,Barisal,1950,8,32.8,25.6,337.0,90.0,1.32962963,7.4,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1950.08,1,1950-08-01
20,Barisal,1950,9,33.9,26.4,187.0,84.0,0.937037037,6.5,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1950.09,0,1950-09-01
21,Barisal,1950,10,33.3,24.5,339.0,85.0,0.490740741,5.8,7.0,41950,536809.8,510151.9,22.7,90.36,4,1950.10,1,1950-10-01
22,Barisal,1950,11,32.9,18.6,98.0,73.0,0.312962963,2.9,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1950.11,0,1950-11-01
23,Barisal,1950,12,30.1,14.0,0.0,68.0,0.337037037,1.5,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1950.12,0,1950-12-01
24,Barisal,1951,1,28.2,12.3,0.0,77.0,0.453703704,0.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1951.01,0,1951-01-01
25,Barisal,1951,2,32.3,16.0,0.0,76.0,0.659259259,0.6,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1951.02,0,1951-02-01
26,Barisal,1951,3,35.6,21.5,67.0,70.0,1.085185185,4.0,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1951.03,0,1951-03-01
27,Barisal,1951,4,36.7,24.3,137.0,75.0,1.772222222,4.6,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1951.04,0,1951-04-01
28,Barisal,1951,5,35.2,25.6,114.0,78.0,1.703703704,3.9,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1951.05,0,1951-05-01
29,Barisal,1951,6,33.9,26.2,394.0,87.0,1.631481481,6.7,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1951.06,1,1951-06-01
30,Barisal,1951,7,35.0,26.0,375.0,89.0,1.57037037,7.2,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1951.07,1,1951-07-01
31,Barisal,1951,8,33.3,26.4,194.0,90.0,1.32962963,7.3,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1951.08,0,1951-08-01
32,Barisal,1951,9,34.4,25.5,286.0,84.0,0.937037037,5.5,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1951.09,0,1951-09-01
33,Barisal,1951,10,33.3,25.1,301.0,85.0,0.490740741,4.8,7.0,41950,536809.8,510151.9,22.7,90.36,4,1951.10,1,1951-10-01
34,Barisal,1951,11,31.1,20.0,31.0,73.0,0.312962963,2.5,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1951.11,0,1951-11-01
35,Barisal,1951,12,31.7,15.7,0.0,68.0,0.337037037,2.1,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1951.12,0,1951-12-01
36,Barisal,1952,1,26.6,12.3,2.0,77.0,0.453703704,1.0,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1952.01,0,1952-01-01
37,Barisal,1952,2,30.6,15.2,8.0,75.0,0.659259259,1.5,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1952.02,0,1952-02-01
38,Barisal,1952,3,33.3,20.2,33.0,73.0,1.085185185,2.4,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1952.03,0,1952-03-01
39,Barisal,1952,4,34.0,23.9,85.0,78.0,1.772222222,3.7,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1952.04,0,1952-04-01
40,Barisal,1952,5,33.6,25.0,196.0,81.0,1.703703704,4.7,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1952.05,0,1952-05-01
41,Barisal,1952,6,32.9,25.7,406.0,87.0,1.631481481,6.2,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1952.06,1,1952-06-01
42,Barisal,1952,7,31.2,25.6,414.0,88.0,1.57037037,6.5,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1952.07,1,1952-07-01
43,Barisal,1952,8,31.4,25.7,349.0,88.0,1.32962963,6.4,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1952.08,1,1952-08-01
44,Barisal,1952,9,32.5,25.5,275.0,87.0,0.937037037,5.6,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1952.09,0,1952-09-01
45,Barisal,1952,10,32.0,23.8,171.0,85.0,0.490740741,3.6,7.0,41950,536809.8,510151.9,22.7,90.36,4,1952.10,0,1952-10-01
46,Barisal,1952,11,30.7,18.8,35.0,80.0,0.312962963,2.0,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1952.11,0,1952-11-01
47,Barisal,1952,12,27.8,13.7,4.0,63.0,0.337037037,1.0,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1952.12,0,1952-12-01
48,Barisal,1953,1,30.0,13.3,10.0,75.0,0.453703704,1.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1953.01,0,1953-01-01
49,Barisal,1953,2,32.8,15.5,3.0,75.0,0.659259259,2.2,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1953.02,0,1953-02-01
50,Barisal,1953,3,35.0,22.9,3.0,78.0,1.085185185,3.1,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1953.03,0,1953-03-01
51,Barisal,1953,4,36.7,25.1,46.0,76.0,1.772222222,3.9,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1953.04,0,1953-04-01
52,Barisal,1953,5,36.1,25.2,339.0,81.0,1.703703704,5.3,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1953.05,1,1953-05-01
53,Barisal,1953,6,35.6,25.2,715.0,88.0,1.631481481,7.3,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1953.06,1,1953-06-01
54,Barisal,1953,7,35.0,25.5,526.0,91.0,1.57037037,6.9,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1953.07,1,1953-07-01
55,Barisal,1953,8,36.7,25.7,167.0,87.0,1.32962963,6.1,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1953.08,0,1953-08-01
56,Barisal,1953,9,35.0,25.7,174.0,87.0,0.937037037,5.6,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1953.09,0,1953-09-01
57,Barisal,1953,10,33.1,24.3,45.0,80.0,0.490740741,3.0,7.0,41950,536809.8,510151.9,22.7,90.36,4,1953.10,0,1953-10-01
58,Barisal,1953,11,30.6,19.1,0.0,77.0,0.312962963,1.4,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1953.11,0,1953-11-01
59,Barisal,1953,12,29.4,16.1,0.0,76.0,0.337037037,0.6,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1953.12,0,1953-12-01
60,Barisal,1954,1,27.8,12.7,0.0,72.0,0.453703704,0.5,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1954.01,0,1954-01-01
61,Barisal,1954,2,33.4,17.9,3.0,73.0,0.659259259,1.0,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1954.02,0,1954-02-01
62,Barisal,1954,3,36.7,20.5,56.0,65.0,1.085185185,1.4,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1954.03,0,1954-03-01
63,Barisal,1954,4,37.1,25.6,14.0,72.0,1.772222222,3.0,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1954.04,0,1954-04-01
64,Barisal,1954,5,37.1,26.3,70.0,74.0,1.703703704,3.8,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1954.05,0,1954-05-01
65,Barisal,1954,6,36.0,25.4,500.0,86.0,1.631481481,6.4,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1954.06,1,1954-06-01
66,Barisal,1954,7,33.0,25.8,260.0,85.0,1.57037037,5.6,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1954.07,0,1954-07-01
67,Barisal,1954,8,33.8,26.4,360.0,87.0,1.32962963,6.6,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1954.08,0,1954-08-01
68,Barisal,1954,9,34.1,26.4,144.0,88.0,0.937037037,5.6,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1954.09,0,1954-09-01
69,Barisal,1954,10,33.2,23.7,169.0,86.0,0.490740741,4.3,7.0,41950,536809.8,510151.9,22.7,90.36,4,1954.10,0,1954-10-01
70,Barisal,1954,11,29.7,17.7,1.0,76.0,0.312962963,1.0,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1954.11,0,1954-11-01
71,Barisal,1954,12,29.3,15.2,6.0,78.0,0.337037037,2.1,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1954.12,0,1954-12-01
72,Barisal,1955,1,26.6,12.3,2.0,77.0,0.453703704,1.0,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1955.01,0,1955-01-01
73,Barisal,1955,2,30.5,15.2,8.0,75.0,0.659259259,1.5,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1955.02,0,1955-02-01
74,Barisal,1955,3,33.3,20.2,33.0,73.0,1.085185185,2.4,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1955.03,0,1955-03-01
75,Barisal,1955,4,34.0,23.9,85.0,78.0,1.772222222,3.7,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1955.04,0,1955-04-01
76,Barisal,1955,5,33.6,25.0,196.0,81.0,1.703703704,4.7,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1955.05,0,1955-05-01
77,Barisal,1955,6,32.9,25.7,406.0,87.0,1.631481481,6.2,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1955.06,1,1955-06-01
78,Barisal,1955,7,31.2,25.6,414.0,88.0,1.57037037,6.5,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1955.07,1,1955-07-01
79,Barisal,1955,8,31.4,25.7,349.0,88.0,1.32962963,6.4,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1955.08,1,1955-08-01
80,Barisal,1955,9,32.5,25.5,275.0,87.0,0.937037037,5.6,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1955.09,0,1955-09-01
81,Barisal,1955,10,32.0,23.8,171.0,85.0,0.490740741,3.6,7.0,41950,536809.8,510151.9,22.7,90.36,4,1955.10,0,1955-10-01
82,Barisal,1955,11,30.7,18.8,35.0,80.0,0.312962963,2.0,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1955.11,0,1955-11-01
83,Barisal,1955,12,27.8,13.7,4.0,63.0,0.337037037,1.0,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1955.12,0,1955-12-01
84,Barisal,1956,1,29.4,14.3,17.0,74.0,0.453703704,0.4,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1956.01,0,1956-01-01
85,Barisal,1956,2,32.8,14.9,0.0,69.0,0.659259259,1.2,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1956.02,0,1956-02-01
86,Barisal,1956,3,36.7,21.5,20.0,72.0,1.085185185,1.8,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1956.03,0,1956-03-01
87,Barisal,1956,4,37.2,24.3,92.0,77.0,1.772222222,2.6,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1956.04,0,1956-04-01
88,Barisal,1956,5,34.4,26.2,343.0,83.0,1.703703704,5.6,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1956.05,1,1956-05-01
89,Barisal,1956,6,32.2,25.2,784.0,87.0,1.631481481,6.3,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1956.06,1,1956-06-01
90,Barisal,1956,7,33.8,25.8,319.0,86.0,1.57037037,5.7,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1956.07,1,1956-07-01
91,Barisal,1956,8,33.3,26.0,497.0,87.0,1.32962963,5.6,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1956.08,1,1956-08-01
92,Barisal,1956,9,33.4,25.7,700.0,85.0,0.937037037,4.8,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1956.09,1,1956-09-01
93,Barisal,1956,10,33.8,24.5,184.0,84.0,0.490740741,3.3,7.0,41950,536809.8,510151.9,22.7,90.36,4,1956.10,0,1956-10-01
94,Barisal,1956,11,31.3,20.0,46.0,81.0,0.312962963,1.3,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1956.11,0,1956-11-01
95,Barisal,1956,12,29.5,14.9,0.0,79.0,0.337037037,0.2,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1956.12,0,1956-12-01
96,Barisal,1957,1,30.1,15.1,104.0,80.0,0.453703704,1.0,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1957.01,0,1957-01-01
97,Barisal,1957,2,30.6,16.3,13.0,80.0,0.659259259,1.6,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1957.02,0,1957-02-01
98,Barisal,1957,3,36.6,20.0,0.0,70.0,1.085185185,1.8,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1957.03,0,1957-03-01
99,Barisal,1957,4,37.3,24.9,1.0,85.0,1.772222222,2.3,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1957.04,0,1957-04-01
100,Barisal,1957,5,36.2,26.7,22.0,77.0,1.703703704,4.2,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1957.05,0,1957-05-01
101,Barisal,1957,6,35.5,26.5,244.0,83.0,1.631481481,5.3,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1957.06,0,1957-06-01
102,Barisal,1957,7,33.3,26.0,564.0,87.0,1.57037037,5.8,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1957.07,1,1957-07-01
103,Barisal,1957,8,35.5,26.3,286.0,87.0,1.32962963,5.3,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1957.08,0,1957-08-01
104,Barisal,1957,9,34.4,26.3,216.0,86.0,0.937037037,5.3,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1957.09,0,1957-09-01
105,Barisal,1957,10,33.2,24.4,52.0,80.0,0.490740741,3.2,7.0,41950,536809.8,510151.9,22.7,90.36,4,1957.10,0,1957-10-01
106,Barisal,1957,11,30.7,18.5,0.0,73.0,0.312962963,0.9,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1957.11,0,1957-11-01
107,Barisal,1957,12,29.4,14.8,0.0,76.0,0.337037037,0.2,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1957.12,0,1957-12-01
108,Barisal,1958,1,31.1,15.5,0.0,77.0,0.453703704,1.7,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1958.01,0,1958-01-01
109,Barisal,1958,2,30.5,16.6,12.0,75.0,0.659259259,2.3,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1958.02,0,1958-02-01
110,Barisal,1958,3,33.6,16.5,51.0,73.0,1.085185185,2.4,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1958.03,0,1958-03-01
111,Barisal,1958,4,36.6,24.5,129.0,79.0,1.772222222,3.0,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1958.04,0,1958-04-01
112,Barisal,1958,5,36.1,26.2,289.0,83.0,1.703703704,4.0,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1958.05,1,1958-05-01
113,Barisal,1958,6,35.5,27.0,171.0,84.0,1.631481481,4.9,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1958.06,0,1958-06-01
114,Barisal,1958,7,33.3,26.2,414.0,90.0,1.57037037,6.0,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1958.07,1,1958-07-01
115,Barisal,1958,8,33.4,26.1,268.0,88.0,1.32962963,5.6,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1958.08,0,1958-08-01
116,Barisal,1958,9,34.4,26.0,321.0,85.0,0.937037037,5.4,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1958.09,1,1958-09-01
117,Barisal,1958,10,33.8,25.5,208.0,86.0,0.490740741,3.3,7.0,41950,536809.8,510151.9,22.7,90.36,4,1958.10,0,1958-10-01
118,Barisal,1958,11,32.2,21.2,0.0,86.0,0.312962963,1.7,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1958.11,0,1958-11-01
119,Barisal,1958,12,28.8,16.7,0.0,78.0,0.337037037,0.8,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1958.12,0,1958-12-01
120,Barisal,1959,1,29.9,14.5,24.0,77.0,0.453703704,1.4,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1959.01,0,1959-01-01
121,Barisal,1959,2,30.5,15.6,5.0,80.0,0.659259259,1.0,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1959.02,0,1959-02-01
122,Barisal,1959,3,36.4,20.6,59.0,72.0,1.085185185,1.5,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1959.03,0,1959-03-01
123,Barisal,1959,4,37.2,24.9,59.0,74.0,1.772222222,3.2,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1959.04,0,1959-04-01
124,Barisal,1959,5,36.1,25.6,258.0,79.0,1.703703704,4.6,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1959.05,0,1959-05-01
125,Barisal,1959,6,34.6,25.8,377.0,85.0,1.631481481,5.4,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1959.06,1,1959-06-01
126,Barisal,1959,7,33.8,25.8,751.0,87.0,1.57037037,6.5,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1959.07,1,1959-07-01
127,Barisal,1959,8,32.7,25.8,621.0,87.0,1.32962963,6.1,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1959.08,1,1959-08-01
128,Barisal,1959,9,33.8,25.3,608.0,91.0,0.937037037,5.7,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1959.09,1,1959-09-01
129,Barisal,1959,10,32.3,24.3,475.0,87.0,0.490740741,4.4,7.0,41950,536809.8,510151.9,22.7,90.36,4,1959.10,1,1959-10-01
130,Barisal,1959,11,29.9,18.5,0.0,79.0,0.312962963,0.6,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1959.11,0,1959-11-01
131,Barisal,1959,12,27.2,14.8,0.0,78.0,0.337037037,0.8,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1959.12,0,1959-12-01
132,Barisal,1960,1,27.3,12.8,0.0,71.0,0.3,1.3,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1960.01,0,1960-01-01
133,Barisal,1960,2,32.7,16.5,0.0,77.0,0.1,0.5,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1960.02,0,1960-02-01
134,Barisal,1960,3,34.9,19.6,36.0,69.0,0.6,1.8,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1960.03,0,1960-03-01
135,Barisal,1960,4,36.6,24.9,13.0,71.0,1.0,1.8,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1960.04,0,1960-04-01
136,Barisal,1960,5,37.2,26.4,324.0,76.0,1.1,4.2,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1960.05,1,1960-05-01
137,Barisal,1960,6,34.4,26.5,433.0,84.0,0.6,5.0,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1960.06,1,1960-06-01
138,Barisal,1960,7,32.8,25.5,716.0,89.0,0.4,6.0,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1960.07,1,1960-07-01
139,Barisal,1960,8,33.6,26.6,823.0,88.0,0.4,6.2,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1960.08,1,1960-08-01
140,Barisal,1960,9,34.0,25.9,650.0,88.0,0.3,5.4,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1960.09,1,1960-09-01
141,Barisal,1960,10,33.8,24.1,316.0,80.0,1.6,2.5,7.0,41950,536809.8,510151.9,22.7,90.36,4,1960.10,1,1960-10-01
142,Barisal,1960,11,31.7,18.8,79.0,74.0,0.3,1.3,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1960.11,0,1960-11-01
143,Barisal,1960,12,28.3,15.1,0.0,75.0,0.1,0.8,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1960.12,0,1960-12-01
144,Barisal,1961,1,28.8,14.5,8.0,73.0,0.2,1.7,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1961.01,0,1961-01-01
145,Barisal,1961,2,31.6,14.9,43.0,70.0,0.3,2.2,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1961.02,0,1961-02-01
146,Barisal,1961,3,34.4,22.8,51.0,79.0,0.9,2.9,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1961.03,0,1961-03-01
147,Barisal,1961,4,37.2,24.8,44.0,79.0,0.8,2.9,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1961.04,0,1961-04-01
148,Barisal,1961,5,36.6,25.5,303.0,81.0,1.2,3.6,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1961.05,1,1961-05-01
149,Barisal,1961,6,36.1,25.7,553.0,86.0,0.5,5.9,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1961.06,1,1961-06-01
150,Barisal,1961,7,34.4,26.2,244.0,83.0,0.5,5.6,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1961.07,0,1961-07-01
151,Barisal,1961,8,33.8,26.0,529.0,86.0,0.3,5.5,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1961.08,1,1961-08-01
152,Barisal,1961,9,33.3,26.0,206.0,85.0,0.5,5.4,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1961.09,0,1961-09-01
153,Barisal,1961,10,33.3,24.6,108.0,82.0,0.3,3.2,7.0,41950,536809.8,510151.9,22.7,90.36,4,1961.10,0,1961-10-01
154,Barisal,1961,11,31.8,19.3,0.0,75.0,0.2,1.2,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1961.11,0,1961-11-01
155,Barisal,1961,12,26.6,12.6,0.0,82.0,0.2,0.2,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1961.12,0,1961-12-01
156,Barisal,1962,1,28.3,11.6,0.0,74.0,0.3,0.5,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1962.01,0,1962-01-01
157,Barisal,1962,2,31.6,16.2,44.0,70.0,0.2,2.1,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1962.02,0,1962-02-01
158,Barisal,1962,3,37.2,19.9,0.0,58.0,0.2,0.6,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1962.03,0,1962-03-01
159,Barisal,1962,4,36.6,24.6,1.0,72.0,1.6,2.7,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1962.04,0,1962-04-01
160,Barisal,1962,5,36.1,24.4,134.0,75.0,1.4,4.4,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1962.05,0,1962-05-01
161,Barisal,1962,6,34.8,25.7,325.0,84.0,1.4,6.5,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1962.06,1,1962-06-01
162,Barisal,1962,7,34.4,26.6,421.0,84.0,1.2,5.7,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1962.07,1,1962-07-01
163,Barisal,1962,8,35.6,26.2,229.0,87.0,0.9,5.8,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1962.08,0,1962-08-01
164,Barisal,1962,9,33.8,26.3,333.0,85.0,1.5,5.4,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1962.09,1,1962-09-01
165,Barisal,1962,10,32.7,24.3,154.0,82.0,0.6,3.7,7.0,41950,536809.8,510151.9,22.7,90.36,4,1962.10,0,1962-10-01
166,Barisal,1962,11,30.5,18.9,262.0,75.0,0.1,0.6,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1962.11,0,1962-11-01
167,Barisal,1962,12,27.7,14.5,0.0,71.0,0.2,0.8,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1962.12,0,1962-12-01
168,Barisal,1963,1,27.7,12.2,0.0,67.0,0.2,0.5,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1963.01,0,1963-01-01
169,Barisal,1963,2,32.7,17.3,0.0,65.0,0.2,0.9,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1963.02,0,1963-02-01
170,Barisal,1963,3,36.6,20.2,260.0,61.0,0.6,1.4,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1963.03,0,1963-03-01
171,Barisal,1963,4,35.5,23.3,54.0,72.0,0.9,3.5,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1963.04,0,1963-04-01
